Company Name,Ticker,Optionable,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F1 Consensus Est.,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Sales Growth F(0)/F(-1),Annual Sales ($mil),EBIT ($mil),Cost of Goods Sold ($mil),Net Income  ($mil),Cash Flow ($mil),Current Assets  ($mil),Industry,Sector,Market Cap (mil)
"Carnival","CUK","YES","","","","","","","537.74","12168","-4471","11757","-6094","-3233","7492","Leisure and Recreation Services","Consumer Discretionary","1643.58"
"Culp","CULP","YES","-.45","-.2","1","-2.64","231.27999","57.77","-1.63","294.84","-.308","258.746","-3.211","4.342","107.176","Textile - Home Furnishing","Consumer Discretionary","64.76"
"CuriosityStream","CURI","YES","-.16","-.17","2","-.61","55.45","13.875","9.52","78.04","-50.55","51.53599","-50.917","-9.73601","69.51","Film and Television Production and Distribution","Consumer Discretionary","61.96"
"CURO Group","CURO","YES","-.43","-.33","2","-1.62","920.15399","222.68899","25.44","1025.92","-8.50101","373.264","-185.484","143.69","2206.45703","Financial - Consumer Loans","Finance","64.93"
"Torrid Holdings","CURV","YES",".13",".19","4",".48","1292.55297","309.682",".73","1288.14","101.41799","828.60498","50.20899","129.63999","216.121","Retail - Apparel and Shoes","Retail-Wholesale","441.13"
"Cutera","CUTR","YES","-.3","-.2","3","-.92","286.29","71.43299","9.14","252.4","3.38499","112.56999","-82.34","-44.12401","451.23999","Lasers Systems and Components","Computer and Technology","462.73"
"Cousins Properties","CUZ","YES",".64",".64","3","2.58","789.70001","197.033",".96","762.29","175.85499","258.371","166.79299","462.281","197.841","REIT and Equity Trust - Other","Finance","3176.49"
"CureVac","CVAC","YES","","","","-1.05","61.79999","","107.03","115.57","-451.30399","267.302","-462.02802","-444.439","1054.88903","Medical - Biomedical and Genetics","Medical","1611.58"
"CVB Financial","CVBF","YES",".43",".44","4","1.79","581.84997","143.19999","20.65","564.66","330.67199","6.82999","235.425","275.651","9253.98144","Banks - West","Finance","2256.7"
"Cavco Industries","CVCO","YES","6.53","6.84","1","25.59","2252.80004","589.40002","46.85","1627.16","212.69099","1218.40905","197.699","208.716","744.117","Building Products - Mobile Homes and RV Builders","Construction","2410.94"
"Central Valley Community Bancorp","CVCY","YES",".64",".66","2","2.62","91.75","22.89999","6.25","88.04","37.366","1.197","26.645","35.54199","1353.49096","Banks - West","Finance","224.64"
"Cenovus Energy","CVE","YES",".41",".58","2","2.04","38936.04296","9734.44042","39.13","51456.7","7346.6289","30283.40039","4961.33984","8560.38183","9561.15625","Oil and Gas - Integrated - Canadian","Oils-Energy","33916.96"
"Civeo","CVEO","YES",".09",".16","3","-.44","645.10998","171.79299","17.26","697.05","22.20599","517.06298","3.99699","95.731","153.54899","Hotels and Motels","Consumer Discretionary","311.54"
"Commercial Vehicle Group","CVGI","YES",".16",".19","2",".67","996.453","255.535","1.03","981.55","8.76","895.04797","-21.97101","34.89599","339.57501","Automotive - Original Equipment","Auto-Tires-Trucks","228.42"
"Calavo Growers","CVGW","YES",".46",".5","2","1.34","1192.36499","335.625","12.81","1191.07","-1.101","1117.22802","-6.24901","25.458","125.674","Agriculture - Operations","Consumer Staples","512.94"
"CVR Energy","CVI","YES","1.2","1.02","2","3.9","9558.91015","2425.67993","50.46","10896","886","9492","463","895.71997","1593","Oil and Gas - Refining and Marketing","Oils-Energy","3089.29"
"Churchill Capital Corp VII","CVII","YES","","","","","","","","","75.219","0","71.051","71.051","4.39699","Unclassified","Unclassified","1749.15"
"Covenant Logistics Group","CVLG","YES",".92",".96","1","3.77","1058.80004","257.89999","16.33","1216.86","145.875","492.03399","108.68199","148.05499","222.656","Transportation - Truck","Transportation","449.92"
"CommVault Systems","CVLT","YES",".65",".58","3","2.59","815.90002","196.26699","6.37","769.59","43.52299","113.859","33.624","147.93899","484.08099","Computer - Software","Computer and Technology","2604.14"
"CelSci","CVM","YES","","","",".29","40.79999","","",".56","-35.62","0","-36.70101","-32.87201","25.436","Medical - Biomedical and Genetics","Medical","98.85"
"Carvana","CVNA","YES","-1.74","-1.59","11","-6.81","11385.08886","2909.958","6.17","13604","-2407","12358","-1587","262.16","4594","Internet - Commerce","Retail-Wholesale","1702.66"
"CVRx","CVRX","YES","-.6","-.58","3","-2.34","36.483","8.3133","72.36","22.47","-41.154","4.999","-41.42801","-40.99101","122.87799","Medical - Instruments","Medical","185.59"
"CVS Health","CVS","YES","2.35","2.21","7","8.83","333427.125","83672.40625","10.39","322467","7915","196892","4149","15746","65682","Retail - Pharmacies and Drug Stores","Retail-Wholesale","99570.02"
"Cvent","CVT","YES",".05",".05","2",".21","738.41998","184.21499","21.54","630.56","-79.031","247.854","-100.27","105.04499","305.71398","Technology Services","Business Services","4112.69"
"CPI Aerostructures","CVU","YES","","","","","","","18.02","103.37","7.97599","88.36399","6.82","7.8987","43.27999","Aerospace - Defense Equipment","Aerospace","40.87"
"Chevron","CVX","YES","3.63","4.13","6","14.56","215272.3125","54024.10937","51.57","246252","50190","149448","35465","52861","50343","Oil and Gas - Integrated - International","Oils-Energy","319653.91"
"CurtissWright","CW","YES","1.98","2.24","4","8.76","2682.46508","652.90399","2.04","2557.02","436.17498","1602.41601","294.34799","426.08599","1517.31298","Aerospace - Defense Equipment","Aerospace","6639.69"
"Clearwater Analytics Holdings","CWAN","YES",".07",".08","4",".29","363.975","88.29699","20.4","303.43","-6.47201","87.78399","-7.96701","66.83399","356.346","Internet - Software","Computer and Technology","3785.47"
"Consolidated Water","CWCO","YES",".23",".25","2",".95","121.943","28.517","40.74","94.11","9.78349","63.75","5.85599","14.41399","92.57399","Utility - Water Supply","Utilities","269.79"
"Clearway Energy","CWEN","YES",".8",".88","4","1.84","1363.56799","391.73498","-7.47","1190","1514","435","582","-438.68","1276","Alternative Energy - Other","Oils-Energy","6402.54"
"Camping World","CWH","YES",".94",".9","3","1.77","6554.14501","1979.005",".77","6967.01","492.89801","4704.729","136.947","260.48999","2483.6621","Leisure and Recreation Services","Consumer Discretionary","1693.78"
"Cushman & Wakefield","CWK","YES",".29",".41","3","1.47","9929.13964","2441.4851","7.64","10105.7","531.09997","8153.5","196.39999","713.70001","2766.80004","Real Estate - Operations","Finance","2224.11"
"Casella Waste Systems","CWST","YES",".39",".49","3","1.21","1167.22497","303.79998","22.03","1085.09","98.688","723.117","53.07899","185.16099","207.479","Pollution Control","Industrial Products","4229.38"
"California Water Service Group","CWT","YES",".52","1.06","2","1.9","875.96002","214.03999","7.02","846.43","145.06199","433.151","96.011","213.744","295.535","Utility - Water Supply","Utilities","3353.29"
"Cemex","CX","YES","","","",".61","16493.49218","","7.07","15576.82","1171.37805","10754.91015","858.35699","1654.75195","4526","Building Products - Concrete and Aggregates","Construction","7591.6"
"Crexendo","CXDO","YES",".04",".05","2",".14","47.86","11.71","33.68","37.55","-36.09701","13.684","-35.413","39.555","12.35","Internet - Services","Computer and Technology","39.06"
"Sprinklr","CXM","YES",".01",".03","6",".14","711.73797","168.83799","25.55","618.19","-47.468","163.725","-55.74201","13.48799","862.52899","Technology Services","Business Services","3408.85"
"CRANE NXT CO","CXT","YES","1.95","1.99","1","7.87","3337.80004","855","6.13","3374.9","615.20001","2035.09997","401.1","569.70001","1751.90002","Manufacturing - Material Handling","Industrial Products","2473.43"
"CoreCivic","CXW","YES",".34",".36","2","1.42","1919.58996","475.49499","-.93","1845.33","250.276","1413.79199","122.31999","201.848","513.66998","REIT and Equity Trust - Other","Finance","1070.99"
"CyberArk Software","CYBR","YES","-.16",".16","9",".17","730.10797","175.14599","17.66","591.71","-137.01801","126.04599","-130.368","1.348","1097.58105","Computers - IT Services","Computer and Technology","5708.31"
"Cyclacel Pharmaceuticals","CYCC","YES","-.68","-.4","2","-1.77","","","","","-25.91501","0","-21.198","-21.16601","24.41099","Medical - Biomedical and Genetics","Medical","7.43"
"Cyclerion Therapeutics","CYCN","YES","","","","","","","-58.78","1.63","-44.078","0","-44.078","-44.01301","14.81999","Medical - Biomedical and Genetics","Medical","14.29"
"China Yuchai International","CYD","YES","","","","1.07","2535.75","","-30.99","2301.73","71.44699","1924.01403","31.384","31.384","2844.74707","Automotive - Original Equipment","Auto-Tires-Trucks","306.86"
"Community Health Systems","CYH","YES","-.26","-.24","5","-.63","12325.73046","3038.66796","-1.27","12211","1207","1975","46","356.82998","3082","Medical - Hospital","Medical","667.36"
"Cyngn","CYN","YES","-.19","-.16","1","-.7","1.7",".4","",".26","-19.237",".18682","-19.237","-18.632","23.777","Automotive - Original Equipment","Auto-Tires-Trucks","38.29"
"CryoPort","CYRX","YES","-.16","-.12","5","-.66","271.73098","68.191","6.59","237.28","-28.952","133.404","-37.33301","-9.06401","604.17602","Transportation - Services","Transportation","1020.64"
"Cytokinetics","CYTK","YES","-1.2","-1.04","7","-4.4","51.066","2.8333","34.3","94.59","-337.79902","0","-388.95499","-358.88801","795.18597","Medical - Biomedical and Genetics","Medical","3481.34"
"Altamira Therapeutics","CYTO","YES","","","","","","","",".07","-18.79501","2.45099","-19.02701","-18.94401","4.11399","Medical - Drugs","Medical","2.15"
"Cyxtera Technologies","CYXT","YES","-.1","-.11","1","-.41","791.70001","192.89999","6.01","746","-192.5","402","-355.10001","41.5","131.5","Technology Services","Business Services","64.25"
"Citizens & Northern Corp","CZNC","YES",".47",".47","1","1.83","111.66","27.79999","6.07","117.06","35.23099","6.638","26.618","30.349","1787.12597","Banks - Northeast","Finance","316.39"
"Cazoo Group","CZOO","YES","-1.86","-1.61","1","-7.9","941.28002","230.25999","68.22","1544.74","-583.98401","1519.31396","-870.63398","-170.816","742.768","Automotive - Foreign","Auto-Tires-Trucks","105"
"Caesars Entertainment","CZR","YES",".28",".23","8","1.1","11456.68945","2831.99902","13.07","10821","1700","4990","-899","1277.26","2102","Leisure and Recreation Services","Consumer Discretionary","9745.53"
"Dominion Energy","D","YES",".82","1.04","3","3.93","17296.64648","3850.30004","22.99","17174","2019","9336","994","6618","9850","Utility - Electric Power","Utilities","48491.34"
"Danaos","DAC","YES","5.61","6.31","1","25.03","865.38","","44.07","993.34","639.60101","194.117","559.21002","815.86401","372.52099","Transportation - Shipping","Transportation","1105.4"
"Dada Nexus Limited","DADA","YES",".04",".05","2",".17","1873.36303","443.51998","30.81","1392.17","-297.482","853.41101","-298.39002","-197.09801","945.12701","Technology Services","Business Services","1977.42"
"Data IO","DAIO","YES","","","","","","","-6.26","24.22","-.43701","11.00699","-1.12001","-.56001","23.898","Electronics - Miscellaneous Components","Computer and Technology","42.77"
"Daktronics","DAKT","YES","","","","","","","26.75","610.97","1.108","494.27301",".592","15.986","317.57","Electronics - Miscellaneous Products","Computer and Technology","241.88"
"Delta Air Lines","DAL","YES","1.32","1.96","8","5.18","55561.73437","14621.88085","69.18","50582","2943","33416","1318","4160","13011","Transportation - Airline","Transportation","21603.33"
"Dana","DAN","YES",".15",".24","3",".8","10612.39648","2674.50708","13.54","10156","97","9393","-242","447","3829","Automotive - Original Equipment","Auto-Tires-Trucks","2068.24"
"Youdao","DAO","YES","","","","","725.71002","","18.23","745.03","-98.639","351.84799","-105.41001","-95.102","271.122","Technology Services","Business Services","875.49"
"Darling Ingredients","DAR","YES","1.39","1.44","5","5.56","7330.583","1833.15405","37.77","6532.2","1019.28399","5002.60888","737.69","1173.76501","1638.09704","Food - Miscellaneous","Consumer Staples","9069.98"
"DoorDash","DASH","YES","-.53","-.55","8","-2.14","7891.68896","1955.57995","34.68","6583","-1397","3588","-1365","-592","4720","Internet - Services","Computer and Technology","23791.15"
"Endava","DAVA","YES",".68",".75","4","2.7","952.04998","243.1","44.97","871.63","140.45899","581.45898","110.605","187.71699","436.83801","Computers - IT Services","Computer and Technology","3464.87"
"DAVE INC","DAVE","YES","-1.82","-1.71","1","-7.01","244.83","60.31","33.88","204.84","-119.77601","0","-128.90601","-121.77301","308.56799","Technology Services","Business Services","68.98"
"Day One Biopharmaceuticals","DAWN","YES","-.61","-.62","6","-2.49","2.4725","","","","-146.92701","0","-142.181","-141.65","347.87399","Medical - Biomedical and Genetics","Medical","947.8"
"Deutsche Bank","DB","YES","","","","1.9","29717.83007","","9.28","39895.17","5738.95898","11026.98046","5710.5122","7692.26904","823682.375","Banks - Foreign","Finance","21473.77"
"","DBA","YES","","","","","","","","","","","","","","Financial - Investment Funds","Finance","918.92"
"","DBB","YES","","","","","","","","","","","","","","Financial - Investment Funds","Finance","223.78"
"","DBC","YES","","","","","","","","","","","","","","Financial - Investment Funds","Finance","2199.74"
"Diebold Nixdorf","DBD","YES",".37",".54","2","1.66","3845.83007","927.34497","-11.38","3460.7","-239.4","2703.3999","-581.40003","99.4","1770.90002","Financial Transaction Services","Business Services","77.1"
"Designer Brands","DBI","YES",".28",".61","2","1.74","3219.13696","771.04998","3.72","3315.43","174.39799","2236.20288","162.67599","214.96499","789.93103","Retail - Apparel and Shoes","Retail-Wholesale","531.51"
"DigitalBridge Group","DBRG","YES",".14",".16","4",".62","1265.23999","314.28698","18.51","1144.57","-407.82599","389.445","-321.797","722.92797","1174.68395","REIT and Equity Trust","Finance","1822.67"
"Decibel Therapeutics","DBTX","YES","-.49","-.54","2","-1.85","35","8.75","","","-62.765","0","-63.00501","-61.543","108.02999","Medical - Biomedical and Genetics","Medical","77.8"
"DBV Technologies","DBVT","YES","-.24","-.24","1","-.97","5.32999","1.30999","-15.14","4.84","-96.20401","0","-96.27401","-83.112","223.074","Medical - Biomedical and Genetics","Medical","323.83"
"Dropbox","DBX","YES",".41",".46","4","1.68","2481.59594","613.65399","7.74","2324.9","189.39999","444.20001","553.20001","774.70001","1489.80004","Internet - Services","Computer and Technology","7604.49"
"Dakota Gold Corp.","DC","YES","","","","","","","","","0","0","0",".134","41.873","Mining - Gold","Basic Materials","263.52"
"Docebo","DCBO","YES",".05",".08","2",".3","183.11599","44.57199","37.1","142.91","4.26999","28.17799","7.018","4.629","263.58499","Internet - Software","Computer and Technology","1251.07"
"Tritium DCFC","DCFC","YES","-.25","-.13","2","-.73","142.88699","46.79","52.82","85.82","-109.406","86.161","-127.562","-125.364","177.56399","Automotive - Original Equipment","Auto-Tires-Trucks","169.17"
"Motion Acquisition","DCGO","YES",".05",".09","3",".29","505.80599","122.023","38.21","440.52","22.01899","285.79501","34.58499","46.89799","271.08099","Medical Services","Medical","827.24"
"Donaldson","DCI","YES",".74",".8","5","3.05","3443.73706","871.78497","15.86","3306.6","453.29998","2239.19995","332.79998","429.20001","1406.5","Pollution Control","Industrial Products","7395.42"
"Ducommun","DCO","YES",".64",".75","2","2.78","745.94598","183.143","10.4","712.54","44.893","568.23999","28.78899","71.49099","527.33599","Aerospace - Defense Equipment","Aerospace","638.38"
"Dime Community Bancshares","DCOM","YES",".84",".84","1","3.46","406.82598","101.828","11.88","477.38","232.84399","38.43299","152.55599","167.22799","10701.17968","Banks - Southeast","Finance","831.09"
